name,subject0,subject1,subject2,subject3
Karen Nipper,6.1,2.1,10.0,10.0
Daniel Kuhl,4.5,1.1,5.8,2.6
Linda Santiago,5.0,3.6,9.0,0.3
Judith Moore,4.3,6.7,4.9,1.9
Patty Thompson,3.3,8.2,5.4,0.6
Michael Merriman,5.6,2.8,5.7,2.1
Cynthia French,8.4,6.7,3.8,0.1
Virginia Ramos,6.2,9.7,2.0,8.1
Joyce Gillespie,4.6,8.2,9.0,2.8
Tim Neely,2.6,0.2,3.3,9.0
Jason Goeltz,9.5,0.6,5.5,0.6
Millie Blechinger,4.5,3.4,7.5,0.2
Michael Parks,4.4,8.1,4.4,7.3
Shauna Henkes,8.8,8.3,6.5,3.0
David Zuniga,1.0,5.4,1.3,5.7
Vera Mejia,3.9,10.0,10.0,2.7
Jerry Mauricio,1.1,5.8,4.6,4.0
Ann Fennel,9.2,9.0,6.2,7.9
Jillian Riley,0.8,8.1,4.7,1.9
Richard Mcelrath,10.0,6.1,1.9,6.9
Charles Cutting,8.4,7.3,5.9,5.5
Marvin Swenson,4.7,8.0,4.0,1.6
Francis Armstrong,10.0,9.7,4.3,9.1
Larita Dahms,7.2,1.7,4.3,6.4
Sarah Rupp,10.0,3.4,2.9,10.0
John Kramer,2.1,1.7,3.8,6.5
Anthony Rico,8.5,1.6,8.9,6.9
Silvia Parrott,10.0,3.3,5.5,1.1
Margaret Doke,10.0,2.0,0.4,3.1
Hector Camp,1.4,9.2,1.4,1.4
Carol England,3.8,2.9,9.4,9.6
Jeffery Heim,9.6,1.6,6.1,3.5
Michael Griffith,10.0,10.0,3.1,2.2
Marylou Elliott,9.7,5.7,8.7,6.1
Patricia Thibeault,3.3,8.7,1.9,9.2
Enrique Johnson,1.2,4.0,8.5,1.2
Laverne Lewis,8.9,10.0,4.8,10.0
James Kimsey,3.7,10.0,3.4,8.7
Ann Kidd,10.0,4.3,1.1,8.0
Evelyn Zywiec,0.0,0.4,3.1,9.8
Jean Messer,2.1,9.6,7.2,9.5
Antoinette Querta,8.0,7.2,2.9,8.7
Cynthia Webster,7.4,3.0,9.8,4.2
Ron Richardson,10.0,10.0,1.7,8.7
Bill Cruz,4.7,5.9,4.2,1.6
Ruth Retchless,3.5,6.8,2.8,7.6
Anthony Restrepo,5.2,7.8,5.1,6.3
Jennifer Wickman,8.7,1.2,8.4,4.5
Susan Orear,2.3,0.0,4.0,7.0
Robert Duarte,5.1,9.6,0.5,3.1
Janet Eichhorn,4.9,6.5,5.8,3.3
Kate Behrens,3.3,8.3,2.0,3.5
Max Lane,8.8,1.3,10.0,1.8
Derek Shaffstall,9.8,3.7,4.1,0.5
Jacob Eaton,3.1,5.8,4.0,5.0
Celia Pollock,9.4,8.6,7.5,8.7
Charles Ledford,1.2,7.1,10.0,0.6
Victorina Mclaughlin,3.4,9.4,4.1,8.8
Ana Fife,7.4,5.3,7.2,1.2
Maureen Spiess,8.7,10.0,4.9,3.3
Karen Ley,9.1,4.7,5.9,2.9
Roseann Phillips,10.0,8.3,7.6,8.9
Dale Cutshall,7.0,4.6,2.4,4.1
Nancy Barnwell,7.1,2.8,1.6,5.6
Craig Nee,3.2,9.3,8.0,4.2
Sonya Smith,10.0,2.9,0.9,3.9
Richard Robinson,8.3,5.9,0.3,4.1
Sandra Dawson,9.1,1.5,6.6,3.7
Marie Smith,8.8,4.5,4.1,3.3
James Castaneda,4.1,8.6,2.2,9.3
Pamela Huether,5.1,7.9,1.0,6.6
Phyllis Carignan,2.9,9.6,1.1,5.3
Pamela Dick,9.2,5.4,4.3,5.0
Robert Elsass,6.0,3.1,8.3,5.8
Carl Felan,2.8,1.9,7.9,6.5
Maryann Sutton,1.5,1.3,6.7,9.5
Sharon Johnson,6.9,9.4,4.3,1.0
Charles Weber,0.4,7.2,10.0,0.5
Angela Farley,5.9,0.8,4.6,0.7
John Hopes,2.2,3.2,1.5,8.1
Lisa Gardner,6.6,6.0,9.5,6.8
Karen Denman,7.8,6.5,5.9,7.0
Nathaniel Poole,3.2,4.2,10.0,6.8
Julie Channel,10.0,4.2,10.0,6.2
Adelaide Thomas,10.0,1.9,1.8,3.5
Stephanie Webster,2.5,4.7,10.0,3.9
David Agan,9.8,5.7,10.0,2.6
Tiffany Austin,3.0,5.6,10.0,2.9
Ann Armijo,2.0,7.6,6.8,7.2
Rolando Vitullo,5.4,7.3,1.8,1.6
Denise Mcdevitt,10.0,7.2,8.3,8.0
Scott Palmer,9.5,0.7,6.0,2.1
William Murray,6.4,4.7,9.3,3.6
James Ross,9.3,7.1,8.2,1.2
Russell Kelley,4.4,3.7,6.6,5.8
Brandi Gutierrez,5.3,5.7,8.2,4.6
Charles Nelson,7.0,1.4,10.0,5.8
Kermit Cooper,7.3,5.7,8.4,9.1
Nancy Schooley,7.1,4.3,1.1,3.1
Johnathan Ervin,5.1,0.5,8.6,10.0
Alberto Howell,5.1,1.3,9.8,7.6
Lila Thompson,9.3,10.0,6.0,10.0
Barbara Dorko,10.0,5.6,8.3,9.3
Patricia Allen,3.2,0.2,6.8,0.0
Geri Porter,0.3,2.7,4.0,5.9
Margaret Swayzer,8.8,8.0,5.4,10.0
Marta Davidson,6.9,10.0,10.0,1.9
Maxine Attaway,5.9,1.8,7.7,3.9
Elida Boothe,7.3,7.2,1.6,10.0
Ronald Ruiz,8.8,10.0,4.2,2.9
Charles Hunter,6.8,7.4,0.2,0.0
Elenora Mantel,3.7,3.1,5.8,3.1
Josefina Carter,2.6,10.0,3.1,1.5
Christopher Madden,5.1,3.1,0.4,1.1
Robert Thompson,8.7,6.4,6.3,0.4
Salvador Hernandez,5.5,3.5,8.3,9.6
Juan Carlson,10.0,4.6,1.7,0.5
Janine Givens,8.0,3.8,4.3,2.0
Rigoberto Buker,10.0,0.2,10.0,2.7
Catherine Lang,5.9,6.0,1.5,7.9
Gloria Emerson,7.8,1.1,10.0,4.9
Evette Kaplan,6.1,1.0,1.1,5.7
Lyle Gadbois,10.0,2.3,7.4,1.2
Mark Williams,10.0,9.7,7.5,8.2
Desmond Whittington,8.7,4.0,10.0,8.0
Joseph Patrick,0.2,2.8,4.1,0.0
Roger Kooser,8.3,1.3,10.0,1.1
George Lewis,8.7,7.4,4.9,7.7
Ronald Brock,4.5,2.5,0.3,2.2
Jessica Connelly,3.3,10.0,3.6,8.7
Janet Charles,9.2,4.8,0.0,5.2
Emmett Keirstead,7.3,5.9,2.3,8.0
Emily Garcia,6.7,8.0,1.9,4.2
Scott Conley,5.7,7.2,3.8,6.7
Tyrell Saenz,0.0,10.0,3.3,6.9
Lashonda Haley,3.3,7.4,8.6,4.4
Harvey Klein,4.8,9.6,4.7,9.8
Ronnie Denton,4.4,0.2,3.9,8.4
Sharon Estes,9.0,8.5,3.6,8.8
Theresa Ford,5.3,9.5,0.7,3.3
Monica Windham,10.0,7.0,4.3,10.0
Benjamin Clay,0.6,9.4,8.1,8.9
Matthew Gunnell,7.4,3.0,1.7,3.9
Russell Blair,5.8,7.4,4.2,4.7
Nichole Strohl,2.4,9.3,0.1,4.0
William Loewen,6.3,10.0,8.4,6.9
Kelly White,9.6,6.8,3.6,5.9
Michael Mcrae,10.0,7.4,4.7,10.0
Mary Dunbar,6.6,4.6,9.2,8.2
Minnie Erickson,8.1,10.0,3.9,1.4
William Stanley,10.0,2.7,1.2,3.7
Phillip Miranda,6.0,1.1,3.7,10.0
Lillian Topolinski,8.5,4.3,10.0,9.9
Ada Lipp,7.4,6.2,5.7,5.7
Maria Ford,5.0,4.8,2.4,8.8
Jessica Schaal,2.2,2.6,8.9,9.6
Kim Parks,7.5,9.5,10.0,10.0
Dora Moore,7.8,8.8,5.6,8.4
Robert Keller,10.0,5.2,4.1,7.0
Tammy Stoner,10.0,0.0,7.2,5.1
Deborah Bish,9.1,8.3,9.0,0.7
John Lakey,2.8,5.1,5.0,0.5
Jose Babcock,1.3,1.2,4.5,7.3
Ray Ardizzone,4.1,7.5,10.0,10.0
Marion Feurtado,4.9,4.6,3.9,6.5
Gary Waters,9.5,4.8,3.8,4.3
Kristina Xie,9.1,7.0,10.0,6.8
Ruth Schull,5.5,8.3,8.0,1.6
Shannon Power,1.3,1.2,9.6,5.4
Morris Jones,10.0,2.2,5.1,5.1
James Dixon,7.1,6.1,10.0,2.5
Jose Porter,1.9,7.4,1.2,1.3
Linda Burke,7.5,1.5,6.4,0.4
Marianne Evans,4.6,4.9,5.0,6.6
Guy Biddick,10.0,1.3,0.2,1.3
Michael John,5.7,7.4,5.0,9.4
Caroline Cheeks,1.6,10.0,9.0,6.5
Cinthia Mcalister,7.1,10.0,2.2,6.9
Wilford Hester,6.9,5.6,2.3,1.4
Beau Wagner,10.0,3.7,10.0,4.8
Jake Reyes,8.0,5.5,5.8,8.6
Michael Rivera,7.8,0.0,9.5,10.0
Margaret Robinson,1.6,4.0,8.0,6.1
Julie Harper,2.4,0.8,10.0,1.7
Rodney Wilson,0.3,6.2,2.5,9.6
Aaron Harris,3.9,4.3,8.0,7.3
Kimberly Wheeler,0.1,9.6,3.9,8.8
Harold Stevenson,3.8,7.4,4.6,2.9
Henry Robbins,4.1,9.2,8.3,2.1
Dominique Elias,3.7,10.0,4.8,2.9
Margaret Stephens,6.8,4.4,8.6,1.2
Freddie Kazunas,4.9,3.1,2.5,5.7
Nancy Rivera,6.6,8.1,6.3,9.1
Tiffany Hancock,5.1,6.9,9.9,1.6
Sam Grosse,2.1,2.0,10.0,3.3
Beverly Nunemaker,9.5,6.7,7.3,3.6
Jack Cassin,4.5,3.9,8.1,10.0
Tanika Hauser,5.4,9.7,4.9,6.0
Florence Delgado,0.6,9.0,10.0,4.4
Debra Giles,2.3,10.0,9.1,8.0
Andrew Mcneil,7.2,3.5,4.9,1.0
Marian Frontz,2.0,8.6,10.0,8.9
Thomas Shelton,2.7,10.0,5.5,6.5
Gloria Blaney,4.7,0.0,2.9,8.5
Mayra Ayaia,5.1,2.2,1.7,4.4
Jeffrey Strom,3.8,4.7,8.0,2.2
Donald Baley,7.2,8.0,5.6,1.4
Iris Currence,8.4,6.4,10.0,2.5
Margene Fortune,9.9,4.3,6.7,8.4
Susan Scavuzzo,1.5,2.0,4.7,3.9
Jared Boudreaux,2.8,7.5,6.9,1.9
Carl Johnson,5.8,7.1,7.5,0.8
Adrienne Arroyo,5.5,5.5,4.2,0.1
Nancy Mcclurkin,6.1,2.4,1.7,2.1
Doris Lindsey,9.1,0.8,2.3,5.3
Matthew Rodriguez,0.9,2.5,4.1,5.5
Jeffrey Sexton,7.0,1.4,3.4,5.4
James Becker,9.6,9.7,5.1,9.1
Terry Horning,1.0,1.3,3.7,5.8
Alison Kunkle,8.2,8.7,2.2,8.5
Clyde Donohue,3.3,9.5,3.2,8.3
Nancy Ferguson,1.1,5.1,3.3,9.2
Tara Perdue,2.2,3.2,6.5,5.0
Pamela Rollins,4.8,2.4,0.7,9.9
Philip Castaneda,7.4,0.7,9.0,3.6
Carlos Pierce,9.1,9.9,5.9,8.2
Tracy Mccarthy,6.0,3.4,0.9,0.7
Dwayne Ramirez,0.5,1.3,6.9,7.7
Francisco Malley,6.5,8.3,1.9,9.1
Kimberly Maio,1.9,5.1,1.5,5.1
Tamara Mcdaniel,3.0,5.3,0.8,2.6
Jason Getzschman,3.7,7.9,7.5,7.6
Joseph Mcfarland,8.7,1.1,2.4,0.3
Christopher Carlson,0.7,1.5,8.7,0.2
Jake Brown,0.8,3.6,8.7,10.0
Kimberly Solorio,8.4,10.0,1.3,9.9
Henry Eccleston,8.2,1.7,9.6,6.6
Mary Mccain,3.5,6.0,4.8,4.3
Victoria Salerno,1.5,4.7,8.7,6.0
Dianne Phillips,8.4,2.7,3.6,6.7
Max Mccurdy,6.4,9.3,2.4,8.6
Theresa Wentworth,0.5,9.0,7.2,5.5
Sheryl Forcier,6.3,1.3,10.0,8.1
Norman Miller,4.8,6.1,5.3,3.0
Luigi Taliaferro,6.3,5.2,8.2,2.7
Allison Goodman,7.1,9.6,7.3,6.6
William Curtis,9.3,4.3,2.0,10.0
Martha Bartlett,3.6,9.0,1.5,9.0
James Quesada,5.0,8.5,6.1,10.0
Robert Law,3.3,6.2,4.2,4.2
Aisha Blackwood,3.1,8.6,7.3,0.9
Debbie Nicholson,8.0,1.7,0.0,4.8
Joanne Coburn,3.3,8.7,2.9,3.5
Jonathan Hines,10.0,9.5,3.6,1.5
Floyd Hsu,8.5,10.0,5.3,1.8
Taylor Devlin,7.4,9.7,0.8,0.9
Nicole Rivera,3.8,8.1,3.5,2.4
Donna Moore,10.0,3.3,9.5,0.8
Viola Hazzard,3.2,5.6,4.7,7.4
Roman Jones,7.3,3.8,2.2,2.7
Rebecca Morabito,0.7,2.3,8.5,3.9
Dennis Rosario,1.8,1.6,10.0,8.8
Margo Truong,6.1,9.6,7.8,1.6
Allison Bridges,10.0,2.4,7.6,1.4
Isabella Irons,8.8,3.2,8.4,0.2
Raymond Lowe,7.0,8.0,4.1,2.2
Michael Pearson,3.7,9.3,7.8,9.5
Brandy Walters,7.7,8.2,6.1,7.0
Janice Roper,0.4,2.2,8.6,3.4
Randolph Lamp,8.2,7.2,10.0,3.3
Brianna Garcia,10.0,9.2,3.1,1.0
June Wilkerson,8.1,6.6,1.9,4.4
Josephine Mitchell,8.2,8.9,0.8,9.4
Irwin Burrell,2.5,10.0,5.0,0.3
Eugene Santos,7.5,0.8,0.0,6.0
Jorge Yohe,4.1,8.4,6.8,3.3
Johnny Aslanian,3.1,4.8,10.0,1.1
Steven Meis,9.3,3.0,10.0,3.4
Frances Koeller,7.7,9.4,7.5,6.7
Earl Cochran,8.6,6.4,9.8,8.3
Margarita Johnson,1.7,4.9,2.3,7.3
Jordan Abel,4.6,10.0,2.4,3.4
Priscilla Hennigan,1.4,8.4,4.5,8.4
Jame Tanaka,7.6,5.6,3.0,1.9
Ashley Simmons,10.0,8.3,9.0,7.7
Keith Green,5.4,7.0,1.3,8.9
Luann Jamison,5.5,5.2,5.6,3.0
Deborah Funk,7.4,7.6,2.9,0.0
Gary Hickey,8.4,7.8,10.0,3.5
Bobby Wallace,0.1,6.1,2.1,3.2
Lynne Kaspar,1.8,8.2,10.0,4.2
Ruth Finn,7.7,7.2,4.3,0.7
Phillip Johnson,5.1,3.9,4.1,10.0
Mollie Bechtel,3.6,9.0,8.6,3.1
Greg Cash,2.0,10.0,3.0,6.4
Dorothy Robinson,5.2,5.9,4.2,1.7
Matthew Patterson,9.7,6.4,3.2,2.7
Christine Krueger,7.8,1.5,3.0,0.7
Clarence Walker,6.7,0.2,2.2,8.8
Remona Anselmo,3.3,8.4,5.9,8.2
Thomas Pichardo,0.2,0.8,0.8,8.5
Michael Smythe,3.6,4.7,1.2,10.0
Bill Hanson,3.5,3.8,3.4,5.7
Gerald Ward,10.0,1.7,0.3,0.9
Michael Newman,7.4,2.3,10.0,5.0
Dorothy Sammartano,3.0,5.2,7.3,4.4
Joseph Schumpert,7.3,1.6,9.5,2.0
John Smith,6.2,2.1,2.5,6.9
Melissa Mayo,9.5,10.0,0.8,0.0
Kirk Pirtle,7.1,7.3,9.2,2.9
Doris Ramirez,5.1,0.2,1.9,0.7
Merri Mclaughlin,8.0,7.1,0.6,3.3
Kathleen Upson,3.7,4.0,9.8,9.0
Doris Rose,4.7,5.5,10.0,3.8
Pamela Hawn,9.3,10.0,6.0,10.0
Kristi Frederick,1.4,3.5,5.0,8.2
Edna Wynn,9.5,9.6,7.4,0.5
Jami Jackson,3.0,1.9,1.9,7.2
Patti Hatchett,8.9,6.8,10.0,3.7
William Bickford,4.1,7.0,10.0,4.5
Wendell Albrecht,8.0,7.8,8.1,4.7
Mary Edens,3.6,9.3,5.0,10.0
James Tweed,5.3,0.8,4.4,2.5
Andre Morrison,10.0,5.5,10.0,0.8
Carlo Fuqua,4.7,0.8,5.6,8.0
Lyn Allen,5.6,6.9,5.2,0.4
James Measheaw,7.1,5.5,3.9,1.9
Dana Ross,1.6,5.9,8.4,4.0
James Bertholf,0.1,4.2,3.5,2.3
Billy Parsons,0.0,6.0,7.1,10.0
Eric Fanno,4.5,0.0,3.8,8.2
William Horst,3.8,0.3,1.5,8.7
Jasper Barton,4.0,3.7,7.3,0.3
Gordon Cote,5.9,8.8,4.9,6.3
Megan Haugabrook,3.1,1.5,1.2,7.8
Cindy Barash,1.0,1.2,8.8,9.5
Michael Wilmoth,2.8,10.0,8.2,3.6
Katherine Wilson,8.3,3.0,7.7,5.2
Ella Edwards,8.3,7.7,4.9,7.6
Cindy Perry,7.1,6.6,8.8,4.0
Roy Goldfeder,5.0,1.1,2.3,6.8
Margaret Graves,3.2,4.9,10.0,8.4
Tom Kerr,0.8,2.5,0.0,0.9
Ray Gibbons,4.2,9.8,0.0,0.8
Carmella Vivier,6.8,9.2,4.6,1.3
Bonnie Bounds,4.2,6.5,4.4,5.6
Rosa Viloria,4.3,1.9,5.0,5.8
Patricia Compton,8.9,7.2,2.2,4.9
Tammy Collins,5.7,5.9,2.2,6.8
Mary Cain,2.9,3.0,0.7,1.8
Wesley Peacock,2.8,10.0,7.8,6.8
Amber Barksdale,8.7,8.3,3.6,2.5
Geoffrey Turner,3.2,4.3,10.0,5.3
Howard Rogers,2.9,9.2,10.0,2.0
Michael Stacey,9.3,9.3,10.0,6.6
Shirley Isacs,9.1,7.4,2.5,2.0
Aurora Harris,8.0,2.2,4.1,10.0
Lucille Zent,8.1,3.4,10.0,1.6
Tammy Miller,0.3,6.5,2.0,5.3
Ethel Savage,0.8,10.0,2.0,8.3
Eugene Simons,0.5,2.8,4.6,6.4
Nancy Smith,3.2,10.0,7.2,0.8
Margaret Longoria,3.1,4.7,10.0,8.6
Sandra Selby,3.5,4.2,2.2,9.9
Shawn Cox,2.5,2.8,1.8,1.3
Russel Fitch,6.7,7.0,1.2,3.7
Robert Jackson,6.1,5.4,0.9,0.0
Bryant Elliott,1.8,8.4,4.9,1.6
Tamika Jenkins,5.9,10.0,10.0,3.0
William Hayes,6.6,1.5,9.8,5.9
Guy Beam,10.0,9.9,5.0,2.1
Eric Epperson,2.5,5.6,5.4,4.2
Sarah Acevedo,10.0,3.7,8.7,0.8
Sara Becerra,7.8,1.6,6.4,0.1
Helen Jenkins,7.3,2.2,7.3,7.2
Lois Henke,2.9,4.0,7.6,10.0
Kristina Castillo,10.0,3.9,1.6,8.5
Beth Kates,5.1,5.1,3.7,7.9
Gerald Waites,3.6,1.7,10.0,1.5
James Barton,3.5,6.6,0.7,4.6
John Ruiz,10.0,0.1,4.3,1.4
Christina Vermillion,4.0,7.5,6.8,6.1
Dewitt Pullen,5.7,5.5,4.2,1.1
Michael Martin,5.8,1.6,10.0,3.7
Robert Vest,3.7,3.6,5.8,6.7
Beverly Dambrose,6.4,5.9,10.0,7.1
Gary Reyes,2.2,3.0,5.4,10.0
Samuel Finchum,4.3,6.5,7.0,7.9
Virginia Daniel,7.7,0.1,0.1,6.5
Margaret Englert,9.1,9.0,2.5,0.3
Sharlene Zuchelkowski,1.6,4.0,8.8,6.3
Beth Ferrara,1.2,9.8,4.3,0.8
Harold Carter,4.9,0.9,1.3,5.2
Jerome Brown,4.1,7.8,3.0,1.8
Robert Moore,9.2,4.6,10.0,4.8
Linda Peart,4.9,2.0,3.7,1.9
Nicholas Taylor,6.8,7.7,10.0,2.1
Donna Sanford,8.8,7.3,1.9,0.5
Linda Murphy,8.4,3.2,4.3,9.6
John Payton,4.4,4.3,9.3,10.0
Mary Poplar,3.7,9.6,7.7,0.6
Ervin Sickler,10.0,4.5,7.8,0.0
Charles Cochran,3.8,2.3,3.9,0.7
Annette Rowland,6.0,3.7,5.8,7.7
Wanda Marshall,9.0,3.0,8.5,5.6
Dorothy Nichols,3.0,2.6,1.4,6.4
Bobbie William,9.0,10.0,9.7,2.4
Brian Magana,8.7,5.7,3.4,8.1
Evelyn Jordan,8.2,4.5,5.8,5.6
Seth Colby,5.3,1.3,2.1,6.6
David Perkins,3.4,8.2,6.0,0.8
John Bryant,3.0,5.8,9.1,4.0
Wayne Hyer,4.8,0.4,9.2,10.0
Jesus Mulcahy,2.6,2.2,8.2,9.1
Sylvia Ward,7.9,1.5,10.0,5.3
Glenn Brown,4.2,4.3,8.0,1.3
Wiley Brewer,6.3,7.1,9.5,1.6
James Pierce,5.8,2.3,10.0,5.3
Jason Costello,5.6,10.0,0.8,2.1
Mary Torres,5.5,1.9,2.9,6.6
Carol Porter,0.4,10.0,3.4,10.0
Mary Jones,6.7,7.2,9.9,1.0
Joseph Lighty,6.8,8.5,8.0,2.1
Dwayne Roberts,6.5,2.9,1.0,2.8
Craig Veer,0.3,9.7,0.8,7.2
Lisa Ridley,5.2,6.7,10.0,10.0
Sharon Declue,5.1,4.3,4.6,9.7
Gino Szabo,3.5,9.4,1.5,9.4
Richard King,1.3,3.5,7.9,8.3
Ronald Elk,9.6,2.1,9.2,3.0
Margaret Ross,10.0,10.0,6.3,0.5
Thanh Rodriquez,4.2,7.3,0.0,3.1
Joel Cochran,1.1,2.7,9.0,4.5
Jessica Osborne,0.0,6.5,7.8,10.0
Gloria Belkowski,1.5,3.4,7.2,8.7
Dorothy Branham,6.1,10.0,5.9,0.1
Howard Berry,10.0,2.5,8.2,8.7
Theresa Emmerich,0.1,2.7,8.6,9.8
David Chambers,10.0,9.4,4.9,0.9
Judy Simpson,10.0,5.0,0.3,6.9
Michael Mccarroll,10.0,5.2,5.6,7.4
Frances Howard,5.1,0.4,1.8,1.9
Sandra Salley,9.0,8.1,6.6,0.8
Catherine Wheeler,2.3,6.2,4.8,9.6
Ethel Poarch,8.2,4.5,8.7,6.1
Patrick Nelson,7.2,1.5,9.1,2.0
Denise Hanna,8.9,2.5,0.9,1.0
Tiffany Harris,1.4,2.9,9.5,1.4
John Staton,4.1,7.1,5.8,2.8
Darryl Moore,4.8,7.0,3.8,0.0
Sheila Thurmond,1.4,5.3,2.1,6.6
Gary Perez,7.1,0.8,4.1,3.7
Angela Hurt,10.0,6.9,9.5,4.7
Esther Brown,8.0,5.5,5.9,5.1
Anthony Nelson,0.3,3.9,8.0,5.8
Kevin Genet,3.5,5.6,9.4,4.0
Carlos Cota,10.0,2.2,7.4,1.4
Richard Hornback,4.3,0.1,3.8,8.5
Jerry Haley,4.6,2.8,8.7,4.1
Anna Douglas,7.7,7.9,8.4,1.4
Jayme Ordway,3.2,3.0,1.7,2.9
Raymond March,1.5,0.9,9.7,3.6
Johnny Towell,10.0,5.2,3.7,5.9
Anita Clark,3.6,6.7,5.4,1.2
Jane Davis,1.0,4.2,9.1,4.0
Cory Brown,8.5,9.6,8.8,3.0
Albert Washington,1.0,4.7,8.6,6.0
Cristen Cherry,4.9,7.2,3.2,1.7
Iris Turner,6.6,3.8,0.0,0.8
Eric Cahn,2.1,9.4,4.8,1.1
Susan Kirk,5.8,5.6,2.7,6.1
Nicholas Paul,3.3,9.9,3.1,8.1
Anita Wallace,8.1,6.9,6.5,2.2
Christy Williams,2.2,6.7,9.7,4.6
Paul Hunter,5.3,2.3,10.0,9.4
Leslie Miller,8.6,3.6,2.4,4.2
Margret Mallow,2.6,2.2,10.0,7.2
Vincent Trask,0.3,2.2,0.1,10.0
Barbara Harris,5.5,3.1,10.0,8.2
Solange Wilson,10.0,5.1,6.7,9.4
Michael Chandler,5.3,0.1,1.3,1.9
Anita Griffin,10.0,10.0,3.8,6.2
Yolanda Womack,5.6,7.2,5.9,4.7
James Starkey,9.6,7.5,7.2,10.0
Christina Lutz,2.2,3.3,7.1,3.4
Mathew Lewis,5.1,5.7,5.4,2.3
Shelly Edwards,2.4,4.8,6.3,6.8
Beverly Williams,3.7,0.0,9.5,2.5
Scott Hardcastle,9.3,5.1,4.6,5.9
Wayne Torres,0.6,8.2,5.5,0.2
Katherine Rowell,10.0,10.0,2.8,9.1
Denise Butner,0.3,9.4,6.4,2.7
Antonio Killian,8.3,4.1,8.8,8.9
Billy Balensiefen,2.4,9.9,0.0,10.0
Isabel Bailey,1.2,4.6,0.9,1.6
William Jordan,4.3,9.9,4.1,10.0
Douglas Smith,8.5,8.8,0.9,6.9
Billy Curtin,10.0,7.6,10.0,1.3
Lisa Raney,8.7,1.4,0.0,7.6
Muriel Ferrera,6.9,4.1,8.0,10.0
Richard Huxtable,6.8,2.7,10.0,3.7
Benjamin Velasquez,0.2,10.0,4.0,10.0
Lewis Willis,1.6,6.8,7.3,9.5
Patsy Fleming,1.7,4.4,7.7,10.0
Mary Cunningham,2.9,9.7,10.0,2.6
Adam Pratka,6.1,3.5,2.4,9.9
Andrew Grace,4.6,10.0,8.1,1.9
Alfredo Michna,6.1,7.9,9.6,9.5
Maria Quick,4.0,7.6,8.1,9.3
Justin Butcher,0.1,7.7,8.1,9.4
John Mulkey,2.7,10.0,3.4,1.9
Juan Lee,3.3,10.0,0.0,7.7
Shelia Harrington,3.4,2.7,9.3,9.3
William Brady,8.5,8.5,0.6,6.4
Warren Anderson,2.7,2.0,10.0,7.2
Richard Wren,8.0,10.0,8.4,3.7
Michelle Ryan,4.2,2.0,5.1,5.2
Robert Simpson,7.6,9.6,10.0,4.0
David Keating,9.7,4.5,9.2,10.0
Fred Morgan,5.2,9.7,6.7,10.0
John Ball,4.8,6.1,6.0,2.4
Alexandra Watkins,0.9,1.8,6.0,7.3
Mary Vazquez,4.5,4.0,7.6,0.5
Rachael Brahm,4.3,10.0,4.5,7.9
Elizabeth Payne,7.5,3.1,6.2,8.6
Daniel Chambers,9.4,5.4,6.0,1.4
Wendy Partin,10.0,2.7,6.0,4.3
Keith Costa,6.3,5.6,0.6,0.1
David Hopkins,6.1,6.3,4.0,9.4
Mercedes Miller,6.8,5.8,10.0,1.7
Karen Parsons,6.6,6.7,1.8,4.1
Kenneth Fielden,2.0,5.0,0.6,1.9
Linda Timme,6.6,4.2,10.0,8.5
Lucille Johnson,5.1,7.2,5.3,9.4
Maria Clement,9.7,8.1,3.7,8.2
Michael Gage,7.0,9.0,10.0,10.0
Bill Dolfi,6.4,9.7,0.0,5.5
Vanessa Hanna,0.4,9.9,5.2,6.9
Paula Ayers,7.6,9.8,2.6,3.2
Kathryn Castellanos,4.5,3.8,3.1,3.7
Cecil Jones,0.6,6.5,10.0,1.8
John Jameson,8.3,7.2,7.6,2.9
Kayla Bishop,6.9,9.2,6.5,9.8
Latoya Ochoa,8.3,3.3,9.0,6.8
Jennifer Wordlaw,9.2,8.0,1.8,3.6
Wendy Fernandez,10.0,7.9,1.8,2.3
Arthur Gadsden,0.8,9.1,2.7,5.4
Nancy Graham,4.5,3.0,3.3,3.2
Manuel Kimble,6.4,5.3,3.3,4.6
Jorge Trujillo,2.0,5.4,1.8,5.2
Anette Honeycutt,5.5,2.3,3.6,10.0
Patricia Thomas,0.7,2.6,2.2,1.9
Patricia Watson,9.9,5.4,9.2,0.8
Sharon Oneil,3.0,5.5,5.4,2.1
Sarah Bradley,9.1,1.8,6.4,3.8
John Kresge,2.4,3.9,4.3,7.0
Glenn Martinez,2.8,5.0,8.7,10.0
Steven Rosol,1.1,2.4,8.5,10.0
Guillermo Matheny,1.4,8.2,6.9,8.2
Winnifred George,10.0,10.0,6.5,10.0
Colleen Nguyen,10.0,5.3,8.7,9.5
Alice Tiller,10.0,7.1,0.2,7.6
Deborah Montgomery,0.8,9.3,0.2,7.4
Jesse Fisher,2.2,8.8,5.4,10.0
Michael Heninger,3.1,10.0,7.7,0.8
Laura Presnell,4.7,2.2,1.2,2.4
Barbara Greenstein,8.6,7.8,7.6,2.5
Letha Cisneros,5.7,8.0,10.0,0.5
Jeannine Mccloud,7.4,6.8,7.2,8.5
Joya Self,4.3,7.3,10.0,10.0
Lorena Crook,6.0,9.6,5.5,10.0
Brian Wilson,9.4,3.5,10.0,3.7
Harry Williams,9.0,8.4,6.1,0.3
